Parameter	Value
baseline_w	0.07407837568339982
A1	2.7379122194348104
mu1	6.878380839803812
sigma1	0.022683256661279683
peak_x1	971.052796173916
A2	2.904742905586912
mu2	6.820863452368075
sigma2	0.02538268222411757
peak_x2	916.7762610618317
