Parameter	Value
baseline_w	9.247316835125297
A1	252.3284173490226
mu1	6.823060610212648
sigma1	0.02832950691985634
peak_x1	918.7927777069973
A2	221.84251918968
mu2	6.8917510076836015
sigma2	0.02580609700806275
peak_x2	984.1231165626814
