Name,baseline_w,A1,mu1,sigma1,peak_x1,A2,mu2,sigma2,peak_x2
j,1.2550860386025349,117.55982571942707,6.827719116233663,0.03319650079712371,923.0829645659818,115.03168514017487,6.8963087557542915,0.02979607047460759,988.6187389733811
j,9.247316835125297,252.3284173490226,6.823060610212648,0.02832950691985634,918.7927777069973,221.84251918968,6.8917510076836015,0.02580609700806275,984.1231165626814
j,1.6065001866199835,28.882772769616892,6.886904289115097,0.03261164191678962,979.3648889894052,28.74892062547638,6.81768532905558,0.02723662223556731,913.8672580878173
j,1.5021190857561617,36.74829767718527,6.885702598631785,0.03422079927201866,978.188702370291,34.78023080008451,6.815330363221508,0.026823751353459588,911.7176640218811
j,2.407876130953398,71.39099761828903,6.889558258590132,0.03278822432160428,981.9675456677307,70.42110531018167,6.817768639473538,0.028678042038350015,913.9433959225402
j,0.07407837568339982,2.7379122194348104,6.878380839803812,0.022683256661279683,971.052796173916,2.904742905586912,6.820863452368075,0.02538268222411757,916.7762610618317
j,1.4216282417172075,167.47400487459288,6.834069763854561,0.02006419694733865,928.9637929684199,218.91862208400886,6.8909944241926935,0.029193396937689374,983.3788268538259
j,2.313240800331504,169.61800557034653,6.891193861314722,0.029161712133082572,983.5749686552456,158.16540565210838,6.828865833036994,0.021865036242451077,924.1420864526916
j,5.604163180196433,325.25846785051095,6.828953217658606,0.02219115534456273,924.222845787743,416.50679414568896,6.8898513137213,0.031199193566787038,982.2553584660781
x,6.238926068272926e-32,45.493423236745315,6.847860771333939,0.027539075953617934,941.8638877802017,42.28838880719082,6.906739856261978,0.02588208862067553,998.9850926470377
j,0.2530933114684336,29.835956290393415,6.904670698626169,0.027604432683006497,996.9201720743445,37.68974536214677,6.8286788636063696,0.036702073504291485,923.969316284845
j,3.0433095101143714e-25,13.125920280700726,6.909153822004247,0.019059548139440857,1001.3995214394685,20.96550302380326,6.835441855871651,0.037782018954469566,930.2392916235702
j,3.8871242274309284e-07,3.040493973555973,6.77791007228743,0.07537318274330189,878.2313647352267,2.403842239721678,6.869036261038134,0.03776491759186056,962.0209818070847
