name,baseline,A,ec50,n,k,K_d,n_H,dFF_max,sigma_noise_rel,dFF_1AP_rel,ca_amp,t_on,t_off,spectrum
jgcamp3,1.26124023090789,75.214280711845,7.14065175067122,2.65791032109037,0.0127713269188239,287,2.52,12,0.645112781955,0.2932330827,0.05,1,1,"(500, 0.57), (520, 0.22), (540, 0.06), (560, 0.01), (800, 0.34), (844, 0.65), (920, 0.96), (940, 1), (960, 1), (1000, 0.57), (1040, 0.22), (1080, 0.06), (1120, 0.01)"
jgcamp6f,1.78674310853181E-18,19.9590136035295,7.73917705057648,2.8652000550703,0.0187993894899224,290,2.7,25.2,1.24,0.735,76.1251,0.8535,98.6173,"(500, 0.57), (520, 0.22), (540, 0.06), (560, 0.01), (800, 0.34), (844, 0.65), (920, 0.96), (940, 1), (960, 1), (1000, 0.57), (1040, 0.22), (1080, 0.06), (1120, 0.01)"
jgcamp6s,2.37907131807461E-15,22.654512249548,7.73239545063302,2.91164313621831,0.0177705697742949,147,2.45,27.2,1,1,54.6943,0.4526,68.5461,"(500, 0.57), (520, 0.22), (540, 0.06), (560, 0.01), (800, 0.34), (844, 0.65), (920, 0.96), (940, 1), (960, 1), (1000, 0.57), (1040, 0.22), (1080, 0.06), (1120, 0.01)"
jgcamp7b,2.53310260732677E-15,21.0745664585901,7.92481769718029,2.86582256799699,0.02625962544633,82,3.06,22.1,0.25,4.64,-1,-1,-1,"(500, 0.57), (520, 0.22), (540, 0.06), (560, 0.01), (800, 0.34), (844, 0.65), (920, 0.96), (940, 1), (960, 1), (1000, 0.57), (1040, 0.22), (1080, 0.06), (1120, 0.01)"
jgcamp7c,4.80019717205392E-17,53.5983007445702,8.43607185421038,2.93687535066622,0.0185607203268892,298,2.44,145.6,0.39,1.85,-1,-1,-1,"(500, 0.57), (520, 0.22), (540, 0.06), (560, 0.01), (800, 0.34), (844, 0.65), (920, 0.96), (940, 1), (960, 1), (1000, 0.57), (1040, 0.22), (1080, 0.06), (1120, 0.01)"
jgcamp7f,7.98133591088598E-15,23.3688937411118,8.91555006545424,2.48861283440072,0.0212647070804271,174,2.3,30.2,0.72,1.71,-1,-1,-1,"(500, 0.57), (520, 0.22), (540, 0.06), (560, 0.01), (800, 0.34), (844, 0.65), (920, 0.96), (940, 1), (960, 1), (1000, 0.57), (1040, 0.22), (1080, 0.06), (1120, 0.01)"
jgcamp7s,3.33364882779148E-21,21.3296814816241,7.82885833532334,3.03697660686516,0.0208902533647568,68,2.49,40.4,0.33,4.96,-1,-1,-1,"(500, 0.57), (520, 0.22), (540, 0.06), (560, 0.01), (800, 0.34), (844, 0.65), (920, 0.96), (940, 1), (960, 1), (1000, 0.57), (1040, 0.22), (1080, 0.06), (1120, 0.01)"
